product_id,sku,category_code,brand_code,color,size,material,weight_grams,length_cm,width_cm,height_cm,rating_count,file_name,ingest_timestamp
2000000000268,RKBR-TOY-0000Q,TOY,RKBR,Green,One-Size,Paper,159,35.3,17.3,2.6,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000275,KDLN-TOY-0000R,TOY,KDLN,Purple,One-Size,Leather,137,17.4,14.1,6.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000282,ACME-CE-0000S,CE,ACME,Navy,One-Size,Polyester,175,14.7,18.8,1.9,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000299,BTNQ-BPC-0000T,BPC,BTNQ,Blue,One-Size,Polyester,351,32.3,11.5,9.2,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000305,TRBZ-SPT-0000U,SPT,TRBZ,Yellow,XS,Plastic,325,16.5,21.3,11.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000312,MOSA-APP-0000V,APP,MOSA,White,One-Size,Plastic,55,15.8,8.2,8.5,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000329,TNGR-TOY-0000W,TOY,TNGR,Silver,One-Size,Steel,687,25.6,11.3,7.8,7,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000336,AQPR-HNK-0000X,HNK,AQPR,Pink,One-Size,Cotton,80,15.2,12,8.1,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000343,CSNV-HNK-0000Y,HNK,CSNV,Black,One-Size,Polyester,308,14,19.8,8.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000350,PGTR-BKS-0000Z,BKS,PGTR,null,One-Size,Cotton,452,16.5,10.3,2.8,8,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000367,PRSD-SPT-00010,SPT,PRSD,Beige,L,Polyester,74,19.6,13.9,7.9,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000374,ZNTH-CE-00011,CE,ZNTH,Navy,One-Size,Leather,344,26,10.5,14.2,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000381,PRLV-HNK-00012,HNK,PRLV,Pink,One-Size,Paper,166,10.4,21.8,8.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000398,AQPR-HNK-00013,HNK,AQPR,Beige,One-Size,Aluminum,196,15,2,10.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000404,CSNV-HNK-00014,HNK,CSNV,Navy,One-Size,Glass,155,11.3,20.4,10.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000411,ABLF-APP-00015,APP,ABLF,White,S,Aluminum,97,4.7,16.7,8.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000428,PLCB-TOY-00016,TOY,PLCB,Purple,One-Size,Rubber,253,13.4,13.4,7.8,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000435,PLCB-TOY-00017,TOY,PLCB,White,One-Size,Cotton,760,27.5,8.2,6.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000442,CKMT-HNK-00018,HNK,CKMT,Blue,One-Size,Polyester,155,20.4,7.7,6.8,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000459,PRLV-HNK-00019,HNK,PRLV,Navy,One-Size,Leather,118,21.4,12.4,9.5,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000466,STCR-HNK-0001A,HNK,STCR,Purple,One-Size,Paper,450,17.4,18,6.8,10,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000473,WRMH-HNK-0001B,HNK,WRMH,Yellow,One-Size,Wood,261,12.9,13.4,8.5,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000480,URTL-APP-0001C,APP,URTL,Navy,L,Glass,437,13.2,12.4,6.6,4,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000497,QLHS-BKS-0001D,BKS,QLHS,null,One-Size,Cotton,495,6.9,13.4,4.8,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000503,PLCB-TOY-0001E,TOY,PLCB,Green,One-Size,Glass,264,25.8,14.4,8.7,45,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000510,DLHV-GRC-0001F,GRCY,DLHV,Silver,One-Size,Rubber,254,28.8,3.5,12.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000527,CSNV-HNK-0001G,HNK,CSNV,Gray,One-Size,Plastic,206,17.8,2,7.8,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000534,NOVW-CE-0001H,CE,NOVW,Yellow,One-Size,Rubber,273,14.6,12.7,5.7,5,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000541,STCR-HNK-0001I,HNK,STCR,Pink,One-Size,Cotton,38,28.7,18.2,1.8,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000558,ZNTH-CE-0001J,CE,ZNTH,Green,One-Size,Leather,142,19.3,12.1,5.9,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000565,CBLT-APP-0001K,APP,CBLT,Green,XS,Steel,402,23.6,10.2,11.5,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000572,ABLF-APP-0001L,APP,ABLF,Red,One-Size,Leather,71,26.1,4.9,11.7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000589,PHTX-CE-0001M,CE,PHTX,Gray,One-Size,Aluminum,303,6.3,5.3,10.2,12,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000596,ACME-CE-0001N,CE,ACME,Purple,One-Size,Rubber,360,36,15.6,6.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000602,PLCB-TOY-0001O,TOY,PLCB,Black,One-Size,Paper,67,9.8,8.9,8.1,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000619,STAC-BKS-0001P,BKS,STAC,null,One-Size,Steel,71,36.7,10.5,8.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000626,FRFL-GRC-0001Q,GRCY,FRFL,Gray,One-Size,Polyester,238,34.2,8.9,13.4,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000633,RKBR-TOY-0001R,TOY,RKBR,Silver,One-Size,Wood,208,28.5,12.6,10.5,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000640,STAC-BKS-0001S,BKS,STAC,null,One-Size,Paper,268,23.6,10.9,11.4,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000657,QLHS-BKS-0001T,BKS,QLHS,null,One-Size,Paper,589,12.8,11.1,6.7,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000664,GMFG-TOY-0001U,TOY,GMFG,Silver,One-Size,Glass,252,29.8,8.6,6.5,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000671,VOLT-CE-0001V,CE,VOLT,Gray,One-Size,Plastic,95,12.7,7,5.7,19,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000688,FRFL-GRC-0001W,GRCY,FRFL,Black,One-Size,Leather,137,38.5,8.7,11.5,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000695,PRSD-SPT-0001X,SPT,PRSD,Pink,S,Rubber,661,15.4,7.8,9.4,9,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000701,FTFX-APP-0001Y,APP,FTFX,White,S,Glass,522,13.2,12.5,2.8,7,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000718,CSNV-HNK-0001Z,HNK,CSNV,Pink,One-Size,Plastic,1434,15.8,9.6,11.1,8,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000725,LFSP-BKS-00020,BKS,LFSP,null,One-Size,Rubber,445,28.1,19.7,6.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000732,DLHV-GRC-00021,GRCY,DLHV,Red,One-Size,Polyester,249,30.2,13,8.1,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000749,ARFT-SPT-00022,SPT,ARFT,Red,XL,Aluminum,89,21.4,14,7.4,30,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000756,TRBZ-SPT-00023,SPT,TRBZ,Navy,XXL,Plastic,165,23,19.8,7.8,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000763,ECOT-CE-00024,CE,ECOT,Black,One-Size,Polyester,612,18.2,6.3,7.7,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000770,ECOT-CE-00025,CE,ECOT,Black,One-Size,Cotton,101,31.6,11.6,11.4,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000787,ECOT-CE-00026,CE,ECOT,Gray,One-Size,Leather,345,11.8,11.8,9.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000794,AQPR-HNK-00027,HNK,AQPR,Black,One-Size,Polyester,178,3,4.1,10.3,50,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000800,ACME-CE-00028,CE,ACME,Blue,One-Size,Paper,240,24.2,20.9,5.4,5,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000817,ABLF-APP-00029,APP,ABLF,Gray,XS,Plastic,651,27.4,12.3,6.1,10,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000824,PRLV-HNK-0002A,HNK,PRLV,Silver,One-Size,Aluminum,615,23.2,22.9,6.9,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000831,PRLV-HNK-0002B,HNK,PRLV,Pink,One-Size,Wood,819,23.5,12.2,8.4,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000848,COTC-APP-0002C,APP,COTC,Gray,One-Size,Steel,993,19.2,20.9,3.1,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000855,HPFN-TOY-0002D,TOY,HPFN,Beige,One-Size,Glass,166,14.6,11.9,11.5,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000862,ARFT-SPT-0002E,SPT,ARFT,Gray,One-Size,Polyester,102,28.9,8.5,3.3,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000879,QLHS-BKS-0002F,BKS,QLHS,null,One-Size,Aluminum,191,17.2,10.4,14.2,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000886,PRLV-HNK-0002G,HNK,PRLV,Red,One-Size,Aluminum,118,18.5,14.2,6.2,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000893,STCR-HNK-0002H,HNK,STCR,Silver,One-Size,Wood,1055,18.9,17.5,4.9,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000909,BLIN-BKS-0002I,BKS,BLIN,null,One-Size,Plastic,994,27.7,13.5,6.7,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000916,SLKE-BPC-0002J,BPC,SLKE,Navy,One-Size,Rubber,233,22.6,13.6,9.3,4,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000923,FRFL-GRC-0002K,GRCY,FRFL,Red,One-Size,Steel,203,21,6.9,4.2,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000930,GLOW-BPC-0002L,BPC,GLOW,White,One-Size,Paper,151,38,16.9,7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000947,BTNQ-BPC-0002M,BPC,BTNQ,Blue,One-Size,Wood,366,18,14,7.4,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000954,GLOW-BPC-0002N,BPC,GLOW,Green,One-Size,Paper,122,27.5,7.1,7.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000961,PRSD-SPT-0002O,SPT,PRSD,Beige,L,Cotton,232,15.4,12.3,9.4,7,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000978,GMFG-TOY-0002P,TOY,GMFG,Green,One-Size,Polyester,102,14.5,8.4,10.7,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000985,STAC-BKS-0002Q,BKS,STAC,null,One-Size,Glass,336,29.8,20.1,3.4,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000992,LFSP-BKS-0002R,BKS,LFSP,null,One-Size,Plastic,364,33,10.1,7.4,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001005,VOLT-CE-0002S,CE,VOLT,Blue,One-Size,Wood,399,28.2,12.5,9.4,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001012,AQPR-HNK-0002T,HNK,AQPR,Gray,One-Size,Aluminum,380,12.7,12.4,12.8,75,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001029,RKBR-TOY-0002U,TOY,RKBR,Beige,One-Size,Steel,572,21.1,23.6,9.2,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001036,ABLF-APP-0002V,APP,ABLF,Pink,One-Size,Cotton,207,20.7,15.5,5.5,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001043,HPFN-TOY-0002W,TOY,HPFN,Green,One-Size,Paper,259,19.2,16.6,7.1,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001050,ABLF-APP-0002X,APP,ABLF,Yellow,L,Aluminum,275,18.2,13,15.4,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001067,ZNTH-CE-0002Y,CE,ZNTH,Navy,One-Size,Polyester,254,24.2,11.6,9.5,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001074,SKYL-CE-0002Z,CE,SKYL,White,One-Size,Aluminum,234,15.5,9.9,6.9,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001081,HMNS-HNK-00030,HNK,HMNS,Silver,One-Size,Steel,93,18.2,6.1,2.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001098,PGTR-BKS-00031,BKS,PGTR,null,One-Size,Leather,111,12,11.8,2.1,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001104,CSNV-HNK-00032,HNK,CSNV,Green,One-Size,Paper,685,18.3,8.7,11.1,10,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001111,SLKE-BPC-00033,BPC,SLKE,Green,One-Size,Aluminum,275,10.5,12.3,8.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001128,FRFL-GRC-00034,GRCY,FRFL,Green,One-Size,Aluminum,117,24.3,17.9,10.2,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001135,SLKE-BPC-00035,BPC,SLKE,Black,One-Size,Rubber,576,15.3,12.2,12.4,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001142,CSNV-HNK-00036,HNK,CSNV,Gray,One-Size,Leather,1032,11.2,10.9,7.2,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001159,QLHS-BKS-00037,BKS,QLHS,null,One-Size,Paper,221,27.1,15.7,4.9,6,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001166,ABLF-APP-00038,APP,ABLF,Pink,L,Steel,582,20.2,13.5,13.1,4,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001173,PHTX-CE-00039,CE,PHTX,Red,One-Size,Aluminum,241,26.6,7.4,11.9,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001180,PHTX-CE-0003A,CE,PHTX,Navy,One-Size,Aluminum,141,25.2,11.4,9.3,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001197,NOVW-CE-0003B,CE,NOVW,Beige,One-Size,Plastic,84,30.1,9.2,15.7,5,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001203,FTFX-APP-0003C,APP,FTFX,Blue,XL,Polyester,613,28.9,8.8,10.8,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001210,PGTR-BKS-0003D,BKS,PGTR,null,One-Size,Wood,119,34.8,18.1,9.7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001227,NTHR-APP-0003E,APP,NTHR,Silver,XS,Wood,419,4.8,12.9,11.1,4,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001234,AQPR-HNK-0003F,HNK,AQPR,Yellow,One-Size,Wood,782,16.3,9,9.4,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001241,CBLT-APP-0003G,APP,CBLT,Green,L,Paper,209,13.3,7.4,7.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001258,TNGR-TOY-0003H,TOY,TNGR,Green,One-Size,Leather,256,24.1,4.2,6.4,29,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001265,DMLX-BPC-0003I,BPC,DMLX,Green,One-Size,Wood,196,16.6,9.3,9.9,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001272,PHTX-CE-0003J,CE,PHTX,Silver,One-Size,Plastic,115,3,14.2,10.7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001289,ACME-CE-0003K,CE,ACME,Green,One-Size,Glass,373,14.3,9.4,11.5,46,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001296,FRMJ-GRC-0003L,GRCY,FRMJ,Gray,One-Size,Leather,454,19.4,11.1,17.6,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001302,ABLF-APP-0003M,APP,ABLF,Purple,XL,Cotton,637,29.5,14.7,10.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001319,TRBZ-SPT-0003N,SPT,TRBZ,Yellow,S,Cotton,193,16.8,7.2,9.3,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001326,ARFT-SPT-0003O,SPT,ARFT,Silver,L,Glass,666,10.5,10.7,8.1,6,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001333,PRLV-HNK-0003P,HNK,PRLV,Green,One-Size,Plastic,120,29.1,18.6,7.6,6,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000001340,ACME-CE-0003Q,CE,ACME,Beige,One-Size,Rubber,183,14.7,2,10.3,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
